code,description, precio_lista , precio_compra ,cant_caja,content,um,grupo,create_time,
220,CUB YOGHURT NUEZ 4 KGS, 127.00000000 , 127.00000000 ,10,1,7,3280,null,
219,CUB YOGHURT PIÑA COCO 4 KGS, 127.00000000 , 127.00000000 ,10,1,7,3280,null,
347,CUBETA CREMA ACIDIFICADA 4 KGS , 228.00000000 , 228.00000000 ,10,1,7,3284,null,
244,CUBETA CREMA CRUDA 4 KGS , 228.00000000 , 228.00000000 ,10,1,7,3284,null,
873,DELAC. SEMI UP PRISMA 1 LT , 26.00000000 , 26.00000000 ,10,1,1,3282,null,
522,DELICRECE BOLSA .900 ML , 15.00000000 , 15.00000000 ,10,900,4,3285,null,
686,DELIGHURT 1KG DURAZNO, 35.00000000 , 35.00000000 ,10,1,7,3280,null,
685,DELIGHURT 1KG FRESA, 35.00000000 , 35.00000000 ,10,1,7,3280,null,
690,DELIGHURT 1KG NATURAL, 38.00000000 , 38.00000000 ,10,1,7,3280,null,
691,DELIGHURT 1KG NATURAL ENDULZADO CON SPLENDA, 42.00000000 , 42.00000000 ,10,1,7,3280,null,
689,DELIGHURT 1KG NUEZ, 35.00000000 , 35.00000000 ,10,1,7,3280,null,
688,DELIGHURT 1KG PIÑA COCO, 35.00000000 , 35.00000000 ,10,1,7,3280,null,
640,DELIGHURT 220 GRS  FRESA, 13.50000000 , 13.50000000 ,10,220,3,3280,null,
653,DELIGHURT 220 GRS DURAZNO, 13.50000000 , 13.50000000 ,10,220,3,3280,null,
656,DELIGHURT 220 GRS NUEZ, 13.50000000 , 13.50000000 ,10,220,3,3280,null,
655,DELIGHURT 220 GRS PIÑA COCO, 13.50000000 , 13.50000000 ,10,220,3,3280,null,
870,DESLAC. LIGHT UP PRISMA 1 LT , 26.00000000 , 26.00000000 ,10,1,1,3282,null,
270,GELATINA AGUA FRESA, 7.00000000 , 7.00000000 ,10,1,3,3506,null,
271,GELATINA AGUA LIMON, 7.00000000 , 7.00000000 ,10,1,3,3506,null,
272,GELATINA AGUA NARANJA, 7.00000000 , 7.00000000 ,10,1,3,3506,null,
383,GELATINA LECHE CHOCOLATE, 7.00000000 , 7.00000000 ,10,1,3,3506,null,
384,GELATINA LECHE FRESA, 7.00000000 , 7.00000000 ,10,1,3,3506,null,
385,GELATINA LECHE VAINILLA, 7.00000000 , 7.00000000 ,10,1,3,3506,null,
